"Sample Name"	"Material Type"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[standard volume]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Parameter Value[sample volume]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Extract Name"	"MS Assay Name"	"Raw Spectral Data File"	"Comment[Data Repository]"	"Comment[Data Record Accession]"	"Factor Value[limiting nutrient]"	"Term Source REF"	"Term Accession Number"	"Factor Value[rate]"	"Unit"	"Term Source REF"	"Term Accession Number"
"C-0.1-aliquot1"	"intracellular"	"CL"	"http://purl.obolibrary.org/obo/GO_0005622"	"metabolite extraction"	"4"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"200"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"S-0.2-aliquot8"	"JIC36_Sulphate_0.20_Internal_1_3"	"JIC36_Sulphate_0.20_Internal_1_3.txt"	""	""	"elemental sulfur"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33403"	"0.1"	"l/hour"	""	""
"P-0.07-aliquot8"	"intracellular"	"CL"	"http://purl.obolibrary.org/obo/GO_0005622"	"metabolite extraction"	"4"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"200"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"P-0.07-aliquot8"	"JIC20_Phosphate_0.07_Internal_1_1"	"JIC20_Phosphate_0.07_Internal_1_1.txt"	""	""	"elemental phosphorus"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33464"	"0.07"	"l/hr"	""	""
"P-0.07-aliquot9"	"intracellular"	"CL"	"http://purl.obolibrary.org/obo/GO_0005622"	"metabolite extraction"	"4"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"200"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"P-0.07-aliquot9"	"JIC21_Phosphate_0.07_Internal_2_1"	"JIC21_Phosphate_0.07_Internal_2_1.txt"	""	""	"elemental phosphorus"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33464"	"0.07"	"l/hr"	""	""
"P-0.1-aliquot8"	"intracellular"	"CL"	"http://purl.obolibrary.org/obo/GO_0005622"	"metabolite extraction"	"4"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"200"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"P-0.1-aliquot8"	"JIC22_Phosphate_0.10_Internal_1_1"	"JIC22_Phosphate_0.10_Internal_1_1.txt"	""	""	"elemental phosphorus"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33464"	"0.1"	"l/hr"	""	""
"P-0.1-aliquot9"	"intracellular"	"CL"	"http://purl.obolibrary.org/obo/GO_0005622"	"metabolite extraction"	"4"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"200"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"P-0.1-aliquot9"	"JIC23_Phosphate_0.10_Internal_2_1"	"JIC23_Phosphate_0.10_Internal_2_1.txt"	""	""	"elemental phosphorus"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33464"	"0.1"	"l/hr"	""	""
"P-0.1-aliquot10"	"intracellular"	"CL"	"http://purl.obolibrary.org/obo/GO_0005622"	"metabolite extraction"	"4"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"200"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"P-0.1-aliquot10"	"JIC24_Phosphate_0.10_Internal_3_1"	"JIC24_Phosphate_0.10_Internal_3_1.txt"	""	""	"elemental phosphorus"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33464"	"0.1"	"l/hr"	""	""
"P-0.2-aliquot8"	"intracellular"	"CL"	"http://purl.obolibrary.org/obo/GO_0005622"	"metabolite extraction"	"4"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"200"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"P-0.2-aliquot8"	"JIC25_Phosphate_0.20_Internal_1_1"	"JIC25_Phosphate_0.20_Internal_1_1.txt"	""	""	"elemental phosphorus"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33464"	"0.2"	"l/hr"	""	""
"P-0.2-aliquot9"	"intracellular"	"CL"	"http://purl.obolibrary.org/obo/GO_0005622"	"metabolite extraction"	"4"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"200"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"P-0.2-aliquot9"	"JIC26_Phosphate_0.20_Internal_2_1"	"JIC26_Phosphate_0.20_Internal_2_1.txt"	""	""	"elemental phosphorus"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33464"	"0.2"	"l/hr"	""	""
"P-0.2-aliquot10"	"intracellular"	"CL"	"http://purl.obolibrary.org/obo/GO_0005622"	"metabolite extraction"	"4"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"200"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"P-0.2-aliquot10"	"JIC27_Phosphate_0.20_Internal_3_1"	"JIC27_Phosphate_0.20_Internal_3_1.txt"	""	""	"elemental phosphorus"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33464"	"0.2"	"l/hr"	""	""
"N-0.07-aliquot8"	"intracellular"	"CL"	"http://purl.obolibrary.org/obo/GO_0005622"	"metabolite extraction"	"4"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"200"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"N-0.07-aliquot8"	"JIC10_Nitrogen_0.07_Internal_1_1"	"JIC10_Nitrogen_0.07_Internal_1_1.txt"	""	""	"elemental nitrogen"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33267"	"0.07"	"l/hr"	""	""
"N-0.07-aliquot8"	"intracellular"	"CL"	"http://purl.obolibrary.org/obo/GO_0005622"	"metabolite extraction"	"4"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"200"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"N-0.07-aliquot8"	"JIC10_Nitrogen_0.07_Internal_1_2"	"JIC10_Nitrogen_0.07_Internal_1_2.txt"	""	""	"elemental nitrogen"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33267"	"0.07"	"l/hr"	""	""
"N-0.07-aliquot8"	"intracellular"	"CL"	"http://purl.obolibrary.org/obo/GO_0005622"	"metabolite extraction"	"4"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"200"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"N-0.07-aliquot8"	"JIC10_Nitrogen_0.07_Internal_1_3"	"JIC10_Nitrogen_0.07_Internal_1_3.txt"	""	""	"elemental nitrogen"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33267"	"0.07"	"l/hr"	""	""
"N-0.07-aliquot9"	"intracellular"	"CL"	"http://purl.obolibrary.org/obo/GO_0005622"	"metabolite extraction"	"4"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"200"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"N-0.07-aliquot9"	"JIC11_Nitrogen_0.07_Internal_2_1"	"JIC11_Nitrogen_0.07_Internal_2_1.txt"	""	""	"elemental nitrogen"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33267"	"0.07"	"l/hr"	""	""
"N-0.07-aliquot10"	"intracellular"	"CL"	"http://purl.obolibrary.org/obo/GO_0005622"	"metabolite extraction"	"4"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"200"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"N-0.07-aliquot10"	"JIC12_Nitrogen_0.07_Internal_3_1"	"JIC12_Nitrogen_0.07_Internal_3_1.txt"	""	""	"elemental nitrogen"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33267"	"0.07"	"l/hr"	""	""
"N-0.1-aliquot8"	"intracellular"	"CL"	"http://purl.obolibrary.org/obo/GO_0005622"	"metabolite extraction"	"4"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"200"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"N-0.1-aliquot8"	"JIC13_Nitrogen_0.10_Internal_1_1"	"JIC13_Nitrogen_0.10_Internal_1_1.txt"	""	""	"elemental nitrogen"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33267"	"0.1"	"l/hr"	""	""
"N-0.1-aliquot9"	"intracellular"	"CL"	"http://purl.obolibrary.org/obo/GO_0005622"	"metabolite extraction"	"4"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"200"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"N-0.1-aliquot9"	"JIC14_Nitrogen_0.10_Internal_2_1"	"JIC14_Nitrogen_0.10_Internal_2_1.txt"	""	""	"elemental nitrogen"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33267"	"0.1"	"l/hr"	""	""
"N-0.1-aliquot10"	"intracellular"	"CL"	"http://purl.obolibrary.org/obo/GO_0005622"	"metabolite extraction"	"4"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"200"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"N-0.1-aliquot10"	"JIC15_Nitrogen_0.10_Internal_3_1"	"JIC15_Nitrogen_0.10_Internal_3_1.txt"	""	""	"elemental nitrogen"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33267"	"0.1"	"l/hr"	""	""
"N-0.2-aliquot8"	"intracellular"	"CL"	"http://purl.obolibrary.org/obo/GO_0005622"	"metabolite extraction"	"4"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"200"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"N-0.2-aliquot8"	"JIC16_Nitrogen_0.20_Internal_1_1"	"JIC16_Nitrogen_0.20_Internal_1_1.txt"	""	""	"elemental nitrogen"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33267"	"0.2"	"l/hr"	""	""
"N-0.2-aliquot9"	"intracellular"	"CL"	"http://purl.obolibrary.org/obo/GO_0005622"	"metabolite extraction"	"4"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"200"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"N-0.2-aliquot9"	"JIC17_Nitrogen_0.20_Internal_2_1"	"JIC17_Nitrogen_0.20_Internal_2_1.txt"	""	""	"elemental nitrogen"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33267"	"0.2"	"l/hr"	""	""
"N-0.2-aliquot10"	"intracellular"	"CL"	"http://purl.obolibrary.org/obo/GO_0005622"	"metabolite extraction"	"4"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"200"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"N-0.2-aliquot10"	"JIC18_Nitrogen_0.20_Internal_3_1"	"JIC18_Nitrogen_0.20_Internal_3_1.txt"	""	""	"elemental nitrogen"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33267"	"0.2"	"l/hr"	""	""
"C-0.07-aliquot8"	"intracellular"	"CL"	"http://purl.obolibrary.org/obo/GO_0005622"	"metabolite extraction"	"4"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"200"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"C-0.07-aliquot8"	"JIC1_Carbon_0.07_Internal_1_1"	"JIC1_Carbon_0.07_Internal_1_1.txt"	""	""	"elemental carbon"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33415"	"0.07"	"l/hr"	""	""
"C-0.07-aliquot8"	"intracellular"	"CL"	"http://purl.obolibrary.org/obo/GO_0005622"	"metabolite extraction"	"4"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"200"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"C-0.07-aliquot8"	"JIC1_Carbon_0.07_Internal_1_2"	"JIC1_Carbon_0.07_Internal_1_2.txt"	""	""	"elemental carbon"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33415"	"0.07"	"l/hr"	""	""
"C-0.07-aliquot8"	"intracellular"	"CL"	"http://purl.obolibrary.org/obo/GO_0005622"	"metabolite extraction"	"4"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"200"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"C-0.07-aliquot8"	"JIC1_Carbon_0.07_Internal_1_3"	"JIC1_Carbon_0.07_Internal_1_3.txt"	""	""	"elemental carbon"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33415"	"0.07"	"l/hr"	""	""
"C-0.07-aliquot9"	"intracellular"	"CL"	"http://purl.obolibrary.org/obo/GO_0005622"	"metabolite extraction"	"4"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"200"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"C-0.07-aliquot9"	"JIC2_Carbon_0.07_Internal_2_1"	"JIC2_Carbon_0.07_Internal_2_1.txt"	""	""	"elemental carbon"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33415"	"0.07"	"l/hr"	""	""
"C-0.07-aliquot10"	"intracellular"	"CL"	"http://purl.obolibrary.org/obo/GO_0005622"	"metabolite extraction"	"4"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"200"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"C-0.07-aliquot10"	"JIC3_Carbon_0.07_Internal_3_1"	"JIC3_Carbon_0.07_Internal_3_1.txt"	""	""	"elemental carbon"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33415"	"0.07"	"l/hr"	""	""
"C-0.1-aliquot8"	"intracellular"	"CL"	"http://purl.obolibrary.org/obo/GO_0005622"	"metabolite extraction"	"4"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"200"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"C-0.1-aliquot8"	"JIC4_Carbon_0.10_Internal_1_1"	"JIC4_Carbon_0.10_Internal_1_1.txt"	""	""	"elemental carbon"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33415"	"0.1"	"l/hr"	""	""
"C-0.1-aliquot9"	"intracellular"	"CL"	"http://purl.obolibrary.org/obo/GO_0005622"	"metabolite extraction"	"4"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"200"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"C-0.1-aliquot9"	"JIC5_Carbon_0.10_Internal_2_1"	"JIC5_Carbon_0.10_Internal_2_1.txt"	""	""	"elemental carbon"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33415"	"0.1"	"l/hr"	""	""
"C-0.1-aliquot10"	"intracellular"	"CL"	"http://purl.obolibrary.org/obo/GO_0005622"	"metabolite extraction"	"4"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"200"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"C-0.1-aliquot10"	"JIC6_Carbon_0.10_Internal_3_1"	"JIC6_Carbon_0.10_Internal_3_1.txt"	""	""	"elemental carbon"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33415"	"0.1"	"l/hr"	""	""
"C-0.2-aliquot8"	"intracellular"	"CL"	"http://purl.obolibrary.org/obo/GO_0005622"	"metabolite extraction"	"4"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"200"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"C-0.2-aliquot8"	"JIC7_Carbon_0.20_Internal_1_1"	"JIC7_Carbon_0.20_Internal_1_1.txt"	""	""	"elemental carbon"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33415"	"0.2"	"l/hr"	""	""
"C-0.2-aliquot9"	"intracellular"	"CL"	"http://purl.obolibrary.org/obo/GO_0005622"	"metabolite extraction"	"4"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"200"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"C-0.2-aliquot9"	"JIC8_Carbon_0.20_Internal_2_1"	"JIC8_Carbon_0.20_Internal_2_1.txt"	""	""	"elemental carbon"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33415"	"0.2"	"l/hr"	""	""
"C-0.2-aliquot10"	"intracellular"	"CL"	"http://purl.obolibrary.org/obo/GO_0005622"	"metabolite extraction"	"4"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"200"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"C-0.2-aliquot10"	"JIC9_Carbon_0.20_Internal_3_1"	"JIC9_Carbon_0.20_Internal_3_1.txt"	""	""	"elemental carbon"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33415"	"0.2"	"l/hr"	""	""
"G-0.07-aliquot4"	"intracellular"	"CL"	"http://purl.obolibrary.org/obo/GO_0005622"	"metabolite extraction"	"4"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"200"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"G-0.07-aliquot4"	"JIC46_GlucoseO2_0.07_Internal_1_1"	"JIC46_GlucoseO2_0.07_Internal_1_1.txt"	""	""	"glucose"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_17234"	"0.07"	"l/hr"	""	""
"G-0.07-aliquot4"	"intracellular"	"CL"	"http://purl.obolibrary.org/obo/GO_0005622"	"metabolite extraction"	"4"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"200"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"G-0.07-aliquot4"	"JIC46_GlucoseO2_0.07_Internal_1_2"	"JIC46_GlucoseO2_0.07_Internal_1_2.txt"	""	""	"glucose"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_17234"	"0.07"	"l/hr"	""	""
"G-0.07-aliquot4"	"intracellular"	"CL"	"http://purl.obolibrary.org/obo/GO_0005622"	"metabolite extraction"	"4"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"200"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"G-0.07-aliquot4"	"JIC46_GlucoseO2_0.07_Internal_1_3"	"JIC46_GlucoseO2_0.07_Internal_1_3.txt"	""	""	"glucose"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_17234"	"0.07"	"l/hr"	""	""
