"Sample Name"	"Material Type"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Extract Name"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Factor Value[limiting nutrient]"	"Term Source REF"	"Term Accession Number"	"Factor Value[rate]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Data Transformation Name"	"Metabolite Assignment File"
"S-0.2-aliquot8"	"internal"	""	""	"metabolite extraction"	"S-0.2-aliquot8"	"S-0.2-aliquot8"	"foo-label"	""	""	"JIC36_Sulphate_0.20_Internal_1_3"	"JIC36_Sulphate_0.20_Internal_1_3.txt"	"sulphur"	""	""	"0.2"	"l/hr"	""	""	"foo_ds"	"foo_file.txt"
"S-0.07-aliquot5"	"external"	""	""	"metabolite extraction"	"S-0.07-aliquot5"	"S-0.07-aliquot5"	"foo-label"	""	""	"JIC82_Sulphate_0.07_External_1_1"	"JIC82_Sulphate_0.07_External_1_1.txt"	"sulphur"	""	""	"0.07"	"l/hr"	""	""	"foo_ds"	"foo_file.txt"
"S-0.07-aliquot6"	"external"	""	""	"metabolite extraction"	"S-0.07-aliquot6"	"S-0.07-aliquot6"	"foo-label"	""	""	"JIC83_Sulphate_0.07_External_2_1"	"JIC83_Sulphate_0.07_External_2_1.txt"	"sulphur"	""	""	"0.07"	"l/hr"	""	""	"foo_ds"	"foo_file.txt"
"S-0.07-aliquot7"	"external"	""	""	"metabolite extraction"	"S-0.07-aliquot7"	"S-0.07-aliquot7"	"foo-label"	""	""	"JIC84_Sulphate_0.07_External_3_1"	"JIC84_Sulphate_0.07_External_3_1.txt"	"sulphur"	""	""	"0.07"	"l/hr"	""	""	"foo_ds"	"foo_file.txt"
"S-0.07-aliquot5"	"external"	""	""	"metabolite extraction"	"S-0.07-aliquot5"	"S-0.07-aliquot5"	"foo-label"	""	""	"JIC82_Sulphate_0.07_External_1_2"	"JIC82_Sulphate_0.07_External_1_2.txt"	"sulphur"	""	""	"0.07"	"l/hr"	""	""	"foo_ds"	"foo_file.txt"
"S-0.07-aliquot5"	"external"	""	""	"metabolite extraction"	"S-0.07-aliquot5"	"S-0.07-aliquot5"	"foo-label"	""	""	"JIC82_Sulphate_0.07_External_1_3"	"JIC82_Sulphate_0.07_External_1_3.txt"	"sulphur"	""	""	"0.07"	"l/hr"	""	""	"foo_ds"	"foo_file.txt"
"S-0.1-aliquot5"	"external"	""	""	"metabolite extraction"	"S-0.1-aliquot5"	"S-0.1-aliquot5"	"foo-label"	""	""	"JIC85_Sulphate_0.10_External_1_1"	"JIC85_Sulphate_0.10_External_1_1.txt"	"sulphur"	""	""	"0.1"	"l/hr"	""	""	"foo_ds"	"foo_file.txt"
"S-0.1-aliquot6"	"external"	""	""	"metabolite extraction"	"S-0.1-aliquot6"	"S-0.1-aliquot6"	"foo-label"	""	""	"JIC86_Sulphate_0.10_External_2_1"	"JIC86_Sulphate_0.10_External_2_1.txt"	"sulphur"	""	""	"0.1"	"l/hr"	""	""	"foo_ds"	"foo_file.txt"
"S-0.2-aliquot5"	"external"	""	""	"metabolite extraction"	"S-0.2-aliquot5"	"S-0.2-aliquot5"	"foo-label"	""	""	"JIC88_Sulphate_0.20_External_1_1"	"JIC88_Sulphate_0.20_External_1_1.txt"	"sulphur"	""	""	"0.2"	"l/hr"	""	""	"foo_ds"	"foo_file.txt"
"S-0.2-aliquot6"	"external"	""	""	"metabolite extraction"	"S-0.2-aliquot6"	"S-0.2-aliquot6"	"foo-label"	""	""	"JIC89_Sulphate_0.20_External_2_1"	"JIC89_Sulphate_0.20_External_2_1.txt"	"sulphur"	""	""	"0.2"	"l/hr"	""	""	"foo_ds"	"foo_file.txt"
"S-0.2-aliquot7"	"external"	""	""	"metabolite extraction"	"S-0.2-aliquot7"	"S-0.2-aliquot7"	"foo-label"	""	""	"JIC90_Sulphate_0.20_External_3_1"	"JIC90_Sulphate_0.20_External_3_1.txt"	"sulphur"	""	""	"0.2"	"l/hr"	""	""	"foo_ds"	"foo_file.txt"
"P-0.07-aliquot8"	"internal"	""	""	"metabolite extraction"	"P-0.07-aliquot8"	"P-0.07-aliquot8"	"foo-label"	""	""	"JIC20_Phosphate_0.07_Internal_1_1"	"JIC20_Phosphate_0.07_Internal_1_1.txt"	"phosphorus"	""	""	"0.07"	"l/hr"	""	""	"foo_ds"	"foo_file.txt"
